_id,uid,city,state,country,aqi,rank,cloud,condition_text,feelslike_c,feelslike_f,gust_kph,gust_mph,humidity,is_day,last_updated,last_updated_epoch,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,uv,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,country_code
66decfd9934726e744d7f6e0,11908,Merida,Yucatan,Mexico,23.0,1,75,Partly cloudy,42.1,107.8,8.3,5.1,26,1,2025-03-31 16:15,1743459300,0.0,0.0,29.75,1008,38.2,100.8,2.2,11.0,6,131,SE,7.2,4.5,mx
66ded09a934726e744d95251,9164,Minatitlan,Veracruz,Mexico,89.0,2,50,Partly cloudy,46.7,116.1,19.0,11.8,33,1,2025-03-31 16:30,1743460200,0.0,0.0,29.69,1005,37.1,98.8,2.9,11.0,6,88,E,12.6,7.8,mx
66ded008934726e744d85218,8282,Ciudad Santa Catarina,Nuevo Leon,Mexico,98.0,3,50,Partly cloudy,38.6,101.4,13.2,8.2,29,1,2025-03-31 16:15,1743459300,0.0,0.0,29.79,1009,36.2,97.2,3.5,13.0,8,68,ENE,11.5,7.2,mx
66ded00c934726e744d85804,199,Laredo,Texas,United States,27.666666666666668,4,50,Partly cloudy,37.3,99.1,17.4,10.8,36,1,2025-03-31 17:15,1743459300,0.0,0.0,29.76,1008,35.3,95.5,3.4,16.0,9,52,NE,15.1,9.4,us
66ded09f934726e744d95b1d,9163,Poza Rica De Hidalgo,Veracruz,Mexico,823.0,5,25,Partly cloudy,42.9,109.3,14.9,9.3,50,1,2025-03-31 16:30,1743460200,0.0,0.0,29.68,1005,35.2,95.4,3.0,6.4,3,43,NE,13.0,8.1,mx
66ded007934726e744d84f39,9160,Piedras Negras,Coahuila De Zaragoza,Mexico,36.0,6,0,Sunny,33.3,91.9,10.4,6.4,6,1,2025-03-31 17:15,1743459300,0.0,0.0,29.79,1009,35.1,95.2,3.2,16.0,9,319,NW,9.0,5.6,mx
66ded007934726e744d84f3a,223,Eagle Pass,Texas,United States,19.5,7,0,Sunny,33.3,91.9,10.4,6.4,6,1,2025-03-31 17:15,1743459300,0.0,0.0,29.79,1009,35.1,95.2,3.2,16.0,9,319,NW,9.0,5.6,us
66ded007934726e744d84f38,6490,San Nicolas De Los Garza,Nuevo Leon,Mexico,64.5,8,25,Partly cloudy,36.5,97.7,13.2,8.2,30,1,2025-03-31 16:15,1743459300,0.0,0.0,29.79,1009,35.0,95.0,3.4,16.0,9,72,ENE,11.5,7.2,mx
66ded00d934726e744d85ada,8113,Ciudad Benito Juarez,Nuevo Leon,Mexico,68.0,9,25,Partly cloudy,36.0,96.9,17.4,10.8,30,1,2025-03-31 16:15,1743459300,0.0,0.0,29.79,1009,35.0,95.0,3.5,16.0,9,98,E,15.1,9.4,mx
66ded007934726e744d84f20,6497,Ciudad Apodaca,Nuevo Leon,Mexico,52.0,10,25,Partly cloudy,36.0,96.9,17.4,10.8,30,1,2025-03-31 16:15,1743459300,0.0,0.0,29.79,1009,35.0,95.0,3.5,16.0,9,98,E,15.1,9.4,mx
66ded007934726e744d84f27,6492,San Pedro Garza Garcia,Nuevo Leon,Mexico,105.0,11,25,Partly cloudy,36.2,97.1,12.9,8.0,30,1,2025-03-31 16:15,1743459300,0.0,0.0,29.79,1009,35.0,95.0,3.3,16.0,9,84,E,11.2,6.9,mx
66ded005934726e744d84c48,10949,Valle Alto,Nuevo Leon,Mexico,70.0,12,25,Partly cloudy,36.3,97.3,14.1,8.7,30,1,2025-03-31 16:15,1743459300,0.0,0.0,29.79,1009,35.0,95.0,3.7,16.0,9,62,ENE,12.2,7.6,mx
66ded00c934726e744d857d1,10950,Cadereyta Jimenez,Nuevo Leon,Mexico,55.0,13,25,Partly cloudy,40.6,105.0,21.5,13.4,30,1,2025-03-31 16:30,1743460200,0.0,0.0,29.79,1009,35.0,95.0,3.4,16.0,9,57,ENE,18.7,11.6,mx
66ded008934726e744d8520b,389,Tlaquepaque,Jalisco,Mexico,52.0,14,25,Partly cloudy,32.5,90.4,15.0,9.4,7,1,2025-03-31 16:15,1743459300,0.0,0.0,30.02,1017,34.4,93.9,4.6,13.0,8,253,WSW,10.4,6.5,mx
66ded00c934726e744d857d5,387,Tonala,Jalisco,Mexico,58.0,15,25,Partly cloudy,32.5,90.4,9.5,5.9,7,1,2025-03-31 16:30,1743460200,0.0,0.0,30.02,1017,34.4,93.9,4.9,13.0,8,294,WNW,8.3,5.1,mx
66ded008934726e744d8522a,391,Zapopan,Jalisco,Mexico,61.5,16,25,Partly cloudy,32.5,90.4,11.2,7.0,7,1,2025-03-31 16:15,1743459300,0.0,0.0,30.02,1017,34.4,93.9,4.9,13.0,8,293,WNW,9.7,6.0,mx
66ded00c934726e744d857b4,6574,Tlajomulco De Zuniga,Jalisco,Mexico,38.0,17,25,Partly cloudy,32.5,90.4,14.5,9.0,7,1,2025-03-31 16:15,1743459300,0.0,0.0,30.02,1017,34.4,93.9,5.3,13.0,8,229,SW,12.6,7.8,mx
670788092e464133fcc0ace6,-339925,Matam,Matam,Senegal,,18,0,Clear,32.3,90.2,55.6,34.5,28,0,2025-03-31 22:30,1743460200,0.0,0.0,29.8,1009,34.3,93.7,0.0,10.0,6,351,N,34.6,21.5,sn
670787b02e464133fcc04ba4,9172,Oaxaca,Oaxaca,Mexico,,19,75,Partly cloudy,32.2,90.0,5.4,3.4,15,1,2025-03-31 16:30,1743460200,0.0,0.0,29.98,1015,34.2,93.6,4.0,16.0,9,60,ENE,4.7,2.9,mx
66ded08a934726e744d934c3,12881,Khartoum,Khartoum,Sudan,111.5,20,0,Clear,31.8,89.3,28.0,17.4,9,0,2025-04-01 00:30,1743460200,0.0,0.0,29.62,1003,33.8,92.9,0.0,10.0,6,46,NE,13.3,8.3,sd
67dd34c833d5fa82976b06a8,48480011G017,Abasolo,Guanajuato,Mexico,65.0,21,0,Sunny,31.9,89.3,10.8,6.7,6,1,2025-03-31 15:30,1743456600,0.0,0.0,29.8,1009,33.7,92.7,8.0,10.0,6,282,WNW,9.4,5.8,mx
66ded09f934726e744d95b32,10165,Jaral Del Progreso,Guanajuato,Mexico,64.0,22,1,Sunny,31.6,88.8,10.4,6.4,5,1,2025-03-31 16:30,1743460200,0.0,0.0,29.76,1008,33.6,92.4,4.7,10.0,6,283,WNW,9.0,5.6,mx
66ded087934726e744d92ee2,12640,Bamako,Bamako,Mali,97.0,23,0,Clear,31.3,88.3,23.4,14.6,16,0,2025-03-31 22:30,1743460200,0.0,0.0,29.85,1011,33.4,92.1,0.0,10.0,6,27,NNE,11.2,6.9,ml
66ded00c934726e744d857ee,8529,Cuernavaca,Morelos,Mexico,70.0,24,100,Overcast,31.2,88.1,12.4,7.7,10,1,2025-03-31 16:30,1743460200,0.0,0.0,29.95,1014,33.3,91.9,4.0,13.0,8,169,S,10.8,6.7,mx
66ded007934726e744d84f2b,13293,Zacatepec,Morelos,Mexico,46.0,25,100,Overcast,31.2,88.1,9.9,6.2,10,1,2025-03-31 16:15,1743459300,0.0,0.0,29.95,1014,33.3,91.9,4.0,13.0,8,196,SSW,8.6,5.4,mx
66decf7b934726e744d754dc,13844,Ouagadougou,Centre,Burkina Faso,53.5,26,0,Clear,31.1,87.9,32.5,20.2,13,0,2025-03-31 22:15,1743459300,0.0,0.0,29.83,1010,33.2,91.8,0.0,10.0,6,11,NNE,15.5,9.6,bf
66decf94934726e744d783fb,8729,Solapur,Maharashtra,India,85.0,27,5,Clear,31.0,87.8,19.8,12.3,22,0,2025-04-01 03:45,1743459300,0.0,0.0,29.69,1005,32.9,91.2,0.0,10.0,6,122,ESE,13.3,8.3,in
66ded00c934726e744d857fe,9167,Monclova,Coahuila De Zaragoza,Mexico,32.0,28,0,Sunny,32.3,90.1,15.3,9.5,30,1,2025-03-31 16:15,1743459300,0.0,0.0,29.79,1009,32.6,90.7,3.9,10.0,6,19,NNE,13.3,8.3,mx
670787c62e464133fcc06e7c,VIR17414,Parbhani,Maharashtra,India,,29,4,Clear,30.6,87.2,6.2,3.8,21,0,2025-04-01 04:00,1743460200,0.0,0.0,29.67,1005,32.6,90.7,0.0,10.0,6,88,E,3.6,2.2,in
67dd350c33d5fa82976b4603,840120550003,Archbold,Florida,United States,31.0,30,50,Partly cloudy,36.0,96.9,16.6,10.3,46,1,2025-03-31 17:30,1743456600,0.0,0.0,29.89,1012,32.6,90.7,2.7,16.0,9,249,WSW,14.4,8.9,us
670787ef2e464133fcc09262,-239440,Nouna,Boucle du Mouhoun,Burkina Faso,,31,0,Clear,30.2,86.3,28.7,17.9,11,0,2025-03-31 22:30,1743460200,0.0,0.0,29.76,1008,32.4,90.3,0.0,10.0,6,22,NNE,13.7,8.5,bf
66ded007934726e744d84f16,10160,San Luis Potosi,San Luis Potosi,Mexico,87.0,32,25,Partly cloudy,30.1,86.2,6.6,4.1,4,1,2025-03-31 16:15,1743459300,0.0,0.0,30.06,1018,32.3,90.1,4.4,16.0,9,279,W,5.8,3.6,mx
66ded00c934726e744d857c6,9165,Tepic,Nayarit,Mexico,18.0,33,0,Sunny,30.1,86.2,14.5,9.0,36,1,2025-03-31 15:15,1743459300,0.0,0.0,29.92,1013,32.3,90.1,5.2,16.0,9,312,NW,12.6,7.8,mx
66ded0e0934726e744d9d9c8,13286,Ciudad Lerdo,Durango,Mexico,141.0,34,0,Sunny,30.1,86.2,17.4,10.8,8,1,2025-03-31 16:30,1743460200,0.0,0.0,29.95,1014,32.3,90.1,4.7,16.0,9,351,N,15.1,9.4,mx
66ded0a9934726e744d96fcf,9174,Gomez Palacio,Durango,Mexico,68.0,35,0,Sunny,30.1,86.2,17.4,10.8,8,1,2025-03-31 16:30,1743460200,0.0,0.0,29.95,1014,32.3,90.1,4.7,16.0,9,351,N,15.1,9.4,mx
670787ba2e464133fcc05a74,VIR290,Akola,Maharashtra,India,,36,23,Clear,30.0,85.9,19.9,12.3,15,0,2025-04-01 04:00,1743460200,0.0,0.0,29.7,1006,32.2,89.9,0.0,10.0,6,35,NE,11.5,7.2,in
67dd34ca33d5fa82976b087a,840482151046,Edinburg,Texas,United States,18.0,37,25,Partly cloudy,41.5,106.7,17.8,11.1,57,1,2025-03-31 16:30,1743456600,0.0,0.0,29.79,1009,31.7,89.1,5.9,11.0,6,66,ENE,15.5,9.6,us
67dd34ec33d5fa82976b27d0,840120950010,Pine Castle,Florida,United States,38.0,38,50,Partly cloudy,34.2,93.6,20.7,12.9,47,1,2025-03-31 17:30,1743456600,0.0,0.0,29.89,1012,31.7,89.1,2.7,16.0,9,257,WSW,18.0,11.2,us
66ded0af934726e744d97b6b,10164,San Luis De La Paz,Guanajuato,Mexico,13.0,39,0,Sunny,29.5,85.1,4.1,2.6,6,1,2025-03-31 16:30,1743460200,0.0,0.0,29.75,1007,31.7,89.0,4.6,10.0,6,298,WNW,3.6,2.2,mx
67dd350c33d5fa82976b4600,840120950011,Orlando,Florida,United States,30.0,40,50,Partly cloudy,34.2,93.6,20.7,12.9,47,1,2025-03-31 17:30,1743456600,0.0,0.0,29.89,1012,31.7,89.1,2.7,16.0,9,257,WSW,18.0,11.2,us
66ded005934726e744d84c31,11774,San Miguel De Allende,Guanajuato,Mexico,77.0,41,0,Sunny,29.5,85.1,4.1,2.6,6,1,2025-03-31 16:15,1743459300,0.0,0.0,29.75,1007,31.7,89.0,4.6,10.0,6,298,WNW,3.6,2.2,mx
670787ba2e464133fcc05d6f,VIR2433,Bhusawal,Maharashtra,India,,42,29,Partly Cloudy,29.4,84.9,7.5,4.7,15,0,2025-04-01 04:00,1743460200,0.0,0.0,29.7,1006,31.6,89.0,0.0,10.0,6,6,N,4.0,2.5,in
66ded007934726e744d84f41,9171,Aguascalientes,Aguascalientes,Mexico,78.0,43,25,Partly cloudy,29.2,84.5,9.5,5.9,5,1,2025-03-31 16:15,1743459300,0.0,0.0,30.1,1019,31.4,88.5,4.6,11.0,6,150,SSE,8.3,5.1,mx
66ded096934726e744d94f49,8879,Celaya,Guanajuato,Mexico,38.333333333333336,44,50,Partly cloudy,29.1,84.3,5.4,3.4,6,1,2025-03-31 16:30,1743460200,0.0,0.0,30.14,1021,31.3,88.3,4.6,16.0,9,301,WNW,4.7,2.9,mx
66ded007934726e744d84f1f,5727,Morelia,Michoacan De Ocampo,Mexico,44.0,45,50,Partly cloudy,29.1,84.3,11.6,7.2,9,1,2025-03-31 16:15,1743459300,0.0,0.0,30.09,1019,31.3,88.3,4.7,13.0,8,133,SE,10.1,6.3,mx
670788602e464133fcc131b5,-351016,Birnin Kebbi,Kebbi,Nigeria,,46,0,Clear,29.1,84.4,23.4,14.6,11,0,2025-03-31 22:30,1743456600,0.0,0.0,29.71,1006,31.3,88.4,0.0,10.0,6,352,N,11.2,6.9,ng
670787bf2e464133fcc06359,VIR10352,Jalgaon,Maharashtra,India,,47,32,Partly Cloudy,29.0,84.1,5.9,3.7,16,0,2025-04-01 04:00,1743460200,0.0,0.0,29.7,1006,31.2,88.2,0.0,10.0,6,313,NW,3.6,2.2,in
67dd34ea33d5fa82976b26d4,840120690002,Clermont,Florida,United States,33.0,48,50,Partly cloudy,33.5,92.3,22.0,13.6,49,1,2025-03-31 17:30,1743456600,0.0,0.0,29.91,1013,31.2,88.2,2.7,16.0,9,262,W,19.1,11.9,us
67dd350c33d5fa82976b45ff,840120972002,Winter Garden,Florida,United States,33.0,49,50,Partly cloudy,33.6,92.5,21.9,13.6,49,1,2025-03-31 17:30,1743456600,0.0,0.0,29.91,1013,31.2,88.2,2.7,16.0,9,267,W,18.7,11.6,us
67dd34c933d5fa82976b0798,840480131090,Poteet,Texas,United States,35.0,50,50,Partly cloudy,33.2,91.8,23.6,14.7,45,1,2025-03-31 16:30,1743456600,0.0,0.0,29.81,1010,31.2,88.2,5.3,13.0,8,59,ENE,20.5,12.8,us
67dd34c933d5fa82976b079a,840480290052,Camp Bullis,Texas,United States,11.0,51,50,Partly cloudy,33.1,91.6,22.4,13.9,45,1,2025-03-31 16:30,1743456600,0.0,0.0,29.81,1010,31.2,88.2,5.3,13.0,8,63,ENE,19.4,12.1,us
67dd34c933d5fa82976b0797,840480290032,San Antonio,Texas,United States,21.0,52,50,Partly cloudy,33.2,91.8,23.6,14.7,45,1,2025-03-31 16:30,1743456600,0.0,0.0,29.81,1010,31.2,88.2,5.3,13.0,8,59,ENE,20.5,12.8,us
66decf75934726e744d74bf0,13449,Abuja,Federal Capital Territory,Nigeria,125.5,53,25,Partly cloudy,34.6,94.3,17.7,11.0,63,0,2025-03-31 23:15,1743459300,0.0,0.0,29.85,1011,31.2,88.2,0.0,10.0,6,218,SW,12.6,7.8,ng
67dd350c33d5fa82976b4605,840121275002,Daytona Beach,Florida,United States,31.0,54,75,Patchy light rain with thunder,33.2,91.7,19.9,12.3,43,1,2025-03-31 17:30,1743456600,0.0,0.0,29.88,1012,31.1,88.0,2.6,16.0,9,247,WSW,17.3,10.7,us
670787c22e464133fcc0693f,VIR15554,Nanded,Maharashtra,India,,55,4,Clear,29.4,84.9,16.8,10.4,24,0,2025-04-01 04:00,1743460200,0.0,0.0,29.69,1005,31.1,88.0,0.0,10.0,6,118,ESE,8.6,5.4,in
