_id,uid,city,state,country,aqi,slug,rank,cloud,condition_text,feelslike_c,feelslike_f,gust_kph,gust_mph,humidity,is_day,last_updated,last_updated_epoch,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,uv,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,country_code
670787ba2e464133fcc05d72,VIR2486,Bikaner,Rajasthan,India,,india/rajasthan/bikaner,1,0,Sunny,40.6,105.1,12.9,8.0,7,1,2025-04-07 11:00,1744003800,0,0,29.73,1007,40.5,104.9,8.8,10,6,243,WSW,11.2,6.9,in
66decfa5934726e744d7a177,11288,Talcher,Odisha,India,87.0,india/odisha/talcher,2,0,Sunny,40.3,104.6,10.8,6.7,17,1,2025-04-07 10:45,1744002900,0,0,29.82,1010,40.3,104.5,7.9,10,6,136,SE,3.6,2.2,in
670788622e464133fcc1365a,PLLODA00030674,Phalodi,Rajasthan,India,,india/rajasthan/phalodi,3,0,Sunny,40.3,104.5,17.8,11.1,7,1,2025-04-07 11:00,1744003800,0,0,29.73,1007,40.2,104.4,8.9,10,6,222,SW,15.5,9.6,in
670788622e464133fcc1365c,PLLODA00030676,Ganganagar,Rajasthan,India,,india/rajasthan/ganganagar,4,0,Sunny,40.2,104.4,14.5,9.0,10,1,2025-04-07 11:00,1744003800,0,0,29.75,1008,40.2,104.3,8.1,10,6,131,SE,12.6,7.8,in
670787c22e464133fcc06922,VIR13754,Mancheral,Telangana,India,,india/telangana/mancheral,5,0,Sunny,40.0,104.1,8.7,5.4,19,1,2025-04-07 11:00,1744003800,0,0,29.8,1009,40.1,104.1,9.6,10,6,201,SSW,7.6,4.7,in
670787be2e464133fcc0604d,VIR4549,Chittaurgarh,Rajasthan,India,,india/rajasthan/chittaurgarh,6,0,Sunny,40.0,103.9,14.5,9.0,6,1,2025-04-07 11:00,1744003800,0,0,29.78,1008,40.0,104.1,9.5,10,6,317,NW,12.6,7.8,in
66decfd0934726e744d7e53b,11849,Bhiwani,Haryana,India,170.0,india/haryana/bhiwani,7,0,Sunny,39.7,103.5,15.3,9.5,9,1,2025-04-07 11:00,1744003800,0,0,29.76,1008,39.9,103.8,8.5,10,6,122,ESE,13.3,8.3,in
670787c22e464133fcc0692f,VIR14301,Meghraj,Gujarat,India,,india/gujarat/meghraj,8,0,Sunny,39.6,103.4,26.9,16.7,7,1,2025-04-07 11:00,1744003800,0,0,29.81,1010,39.8,103.7,9.3,10,6,274,W,23.4,14.5,in
66decfd0934726e744d7e538,11269,Bathinda,Punjab,India,196.0,india/punjab/bathinda,9,0,Sunny,39.7,103.4,8.7,5.4,9,1,2025-04-07 11:00,1744003800,0,0,29.78,1008,39.8,103.7,8.1,10,6,145,SE,7.6,4.7,in
670787c22e464133fcc0691f,VIR13684,Malaut,Punjab,India,,india/punjab/malaut,10,0,Sunny,39.6,103.2,11.2,7.0,10,1,2025-04-07 11:00,1744003800,0,0,29.77,1008,39.8,103.6,7.9,10,6,149,SSE,9.7,6.0,in
670787c22e464133fcc0691e,VIR13604,Mahesana,Gujarat,India,,india/gujarat/mahesana,11,0,Sunny,39.5,103.0,24.4,15.2,9,1,2025-04-07 11:00,1744003800,0,0,29.82,1010,39.7,103.5,9.2,10,6,276,W,21.2,13.2,in
670787ba2e464133fcc05a69,VIR65,Abohar,Punjab,India,,india/punjab/abohar,12,0,Sunny,39.4,103.0,13.2,8.2,10,1,2025-04-07 11:00,1744003800,0,0,29.76,1008,39.7,103.4,8.0,10,6,132,SE,11.5,7.2,in
670787ba2e464133fcc05d67,VIR2423,Bhilwara,Rajasthan,India,,india/rajasthan/bhilwara,13,0,Sunny,39.4,102.9,16.6,10.3,7,1,2025-04-07 11:00,1744003800,0,0,29.78,1008,39.7,103.4,9.6,10,6,310,NW,14.4,8.9,in
